run_number,world-size,patch_resolution,landscape_number,hab_amount,clumpiness,specie,perceptual_range,initial_individuals,mortality_habitat,mortality_matrix,min_dist_before_settle,origin_site,min_Ci,var_Ci,behaviours,discharge-rate,En_mean,En_sd,import_hab_quality_surface,hab_quality_folder,hab_quality_per_frag,ac_simple,autocorrelation,ac,
43,150,10,44,25,27,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
44,150,10,42,64,10,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
45,150,10,45,20,60,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
46,150,10,46,29,77,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
47,150,10,47,7,5,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,0,2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
48,150,10,48,36,30,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
49,150,10,49,33,24,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
50,150,10,50,18,33,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
51,150,10,52,12,13,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
52,150,10,51,68,37,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
53,150,10,53,48,70,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
54,150,10,54,19,8,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
55,150,10,56,38,8,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
56,150,10,55,51,34,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
