run_number,world-size,patch_resolution,landscape_number,hab_amount,clumpiness,specie,perceptual_range,initial_individuals,mortality_habitat,mortality_matrix,min_step_before_settle,dmean,dsd,origin_site,min_Ci,var_Ci,behaviours,discharge-rate,En_mean,En_sd,import_hab_quality_surface,hab_quality_folder,hab_quality_per_frag,ac_simple,autocorrelation,ac,
43,100,10,41,65,32,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
44,100,10,44,25,27,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
45,100,10,45,20,60,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
46,100,10,46,29,77,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
47,100,10,47,7,5,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,0,0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
48,100,10,49,33,24,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
49,100,10,48,36,30,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
50,100,10,50,18,33,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
51,100,10,52,12,13,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
52,100,10,53,48,70,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
53,100,10,51,68,37,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
54,100,10,54,19,8,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
55,100,10,55,51,34,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
56,100,10,56,38,8,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
57,100,10,57,14,68,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
58,100,10,58,40,87,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
59,100,10,59,27,70,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
60,100,10,61,27,63,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
61,100,10,60,66,38,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
62,100,10,62,17,7,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
63,100,10,63,58,9,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
64,100,10,64,49,21,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
65,100,10,66,15,47,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
66,100,10,65,58,60,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
67,100,10,67,47,43,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
68,100,10,68,54,66,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
69,100,10,70,41,36,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
70,100,10,69,66,65,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
71,100,10,71,58,88,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
72,100,10,72,10,63,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
73,100,10,73,36,23,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
74,100,10,74,6,69,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
75,100,10,75,52,45,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
76,100,10,76,51,86,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
77,100,10,77,59,62,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
78,100,10,78,34,71,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
79,100,10,79,41,79,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
